DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,GR,FORCE_2020_LITHOFACIES_LITHOLOGY
2119.705992,SHETLAND GP.,Jorsalfare Fm.,12,0.791814327,0.82587111,88.9578476,65000
2119.857992,SHETLAND GP.,Jorsalfare Fm.,12.01586628,0.78592813,0.824995339,88.49895477,65000
2120.009992,SHETLAND GP.,Jorsalfare Fm.,12.04455853,0.786204755,0.833371759,88.77069855,65000
2120.161992,SHETLAND GP.,Jorsalfare Fm.,12.07088566,0.798753023,0.848309815,91.65838623,65000
2120.313992,SHETLAND GP.,Jorsalfare Fm.,12.09721184,0.815052986,0.864002347,92.5076828,65000
2120.465992,SHETLAND GP.,Jorsalfare Fm.,12.08973599,0.818320334,0.861387968,93.35926056,65000
2120.617992,SHETLAND GP.,Jorsalfare Fm.,12.07311344,0.810376406,0.847391963,91.81575012,65000
2120.769992,SHETLAND GP.,Jorsalfare Fm.,12.04616737,0.807349265,0.842746317,90.88428497,65000
2120.921992,SHETLAND GP.,Jorsalfare Fm.,12.0397501,0.773620844,0.818032801,91.92081451,65000
2121.073992,SHETLAND GP.,Jorsalfare Fm.,12.07639504,0.769197106,0.813392341,90.912323,65000
2121.225992,SHETLAND GP.,Jorsalfare Fm.,12.08058834,0.816587746,0.846716404,90.04317474,65000
2121.377992,SHETLAND GP.,Jorsalfare Fm.,12.06347847,,0.858931184,82.07958984,65000
2121.529992,SHETLAND GP.,Jorsalfare Fm.,12.03938675,,0.860442281,81.80580902,65000
2121.681992,SHETLAND GP.,Jorsalfare Fm.,12.03513336,,0.861953378,90.72581482,65000
2121.833992,SHETLAND GP.,Jorsalfare Fm.,12.04650116,,0.863464415,89.87612152,65000
2121.985992,SHETLAND GP.,Jorsalfare Fm.,12.05661202,,0.864975512,91.20884705,65000
2122.137992,SHETLAND GP.,Jorsalfare Fm.,12.06224823,,0.866486669,94.01306152,65000
2122.289992,SHETLAND GP.,Jorsalfare Fm.,12.05943012,,0.867997766,92.56465149,65000
2122.441992,SHETLAND GP.,Jorsalfare Fm.,12.08065128,,0.869508803,89.23373413,65000
2122.593992,SHETLAND GP.,Jorsalfare Fm.,12.10283852,,0.8710199,87.56223297,65000
2122.745992,SHETLAND GP.,Jorsalfare Fm.,12.12052822,,0.872530997,89.20152283,65000
2122.897992,SHETLAND GP.,Jorsalfare Fm.,12.10264587,,0.874042094,92.73601532,65000
2123.049992,SHETLAND GP.,Jorsalfare Fm.,12.06252956,,0.875553131,96.12786102,65000
2123.201992,SHETLAND GP.,Jorsalfare Fm.,12.07446194,,0.877064228,96.06929016,65000
2123.353992,SHETLAND GP.,Jorsalfare Fm.,12.06540489,,0.878575385,95.88691711,65000
2123.505992,SHETLAND GP.,Jorsalfare Fm.,12.04220295,,0.880086422,98.31623077,65000
2123.657992,SHETLAND GP.,Jorsalfare Fm.,12.07850266,,0.881597519,97.59472656,65000
2123.809992,SHETLAND GP.,Jorsalfare Fm.,12.15088463,,0.883108616,92.68865204,65000
2123.961992,SHETLAND GP.,Jorsalfare Fm.,12.17276764,,0.884619713,93.41477966,65000
2124.113992,SHETLAND GP.,Jorsalfare Fm.,12.15022469,,0.88613075,95.74869537,65000
2124.265992,SHETLAND GP.,Jorsalfare Fm.,12.11397648,,0.887641847,96.15249634,65000
2124.417992,SHETLAND GP.,Jorsalfare Fm.,12.06007576,,0.889152944,94.94226074,65000
2124.569992,SHETLAND GP.,Jorsalfare Fm.,12.07039356,,0.890664041,94.9770813,65000
2124.721992,SHETLAND GP.,Jorsalfare Fm.,12.2074976,,0.892175138,95.62761688,65000
2124.873992,SHETLAND GP.,Jorsalfare Fm.,12.37891102,,0.893686235,94.07752991,65000
2125.025992,SHETLAND GP.,Jorsalfare Fm.,12.43957329,,0.895197332,91.99460602,65000
2125.177992,SHETLAND GP.,Jorsalfare Fm.,12.3744278,,0.896708369,92.02898407,65000
2125.329992,SHETLAND GP.,Jorsalfare Fm.,12.3818903,,0.898219466,91.9885025,65000
2125.481992,SHETLAND GP.,Jorsalfare Fm.,12.34652329,,0.899730563,89.55808258,65000
2125.633992,SHETLAND GP.,Jorsalfare Fm.,12.30940723,,0.90124166,90.05469513,65000
2125.785992,SHETLAND GP.,Jorsalfare Fm.,12.38306332,,0.902752757,90.89511871,65000
2125.937992,SHETLAND GP.,Jorsalfare Fm.,12.60625362,,0.904263854,91.39644623,65000
2126.089992,SHETLAND GP.,Jorsalfare Fm.,12.84940624,,0.905774951,91.95038605,65000
