CALI,RSHA,RMED,RDEP,RHOB,GR,SP
17.66024208,0.165948302,1.059928656,1.642948866,2.029336214,70.2372818,179.875
17.77178001,0.191684678,1.113652468,1.869565606,2.065659761,74.46617889,179.9799805
17.53444862,0.222648472,1.249445319,2.07876873,2.096750021,75.68521881,180.3231812
18.7447567,0.18547973,1.229039311,1.992943406,2.083360195,75.29680634,179.9971008
19.23848534,0.208112374,1.197857618,1.965714812,2.070955753,74.42176819,179.373764
18.46224022,0.14784354,1.200288653,1.927406907,2.067797661,73.05024719,178.9746704
18.81761742,0.206399173,1.237265229,1.96709466,2.045685053,72.27059937,179.3995819
19.16048431,0.451336324,1.324085474,2.093737602,2.031107903,70.74904633,179.5242462
19.51525116,0.391530991,1.278846502,2.194099188,2.053342104,72.25153351,179.6010742
19.89983177,0.415275216,1.251888394,2.099339962,2.052679777,71.45665741,179.5471954
20.18430519,0.660166085,1.307345748,2.000235319,2.038053513,73.39616394,179.8199158
20.35775948,0.361227274,1.289993286,1.860819817,2.032045841,72.77977753,180.2169037
20.21611595,0.442211062,1.234418154,1.824814439,2.064334154,75.00821686,180.6702881
19.90237427,0.548616231,1.279295921,1.863435268,2.087475777,71.54705811,180.8973084
19.78503609,0.285231739,1.160864115,1.845799208,2.114198446,69.9697876,181.0219727
19.69417381,0.309371829,1.071425796,1.708451033,2.079376221,71.56281281,181.1466522
20.08548737,0.504123509,1.090613008,1.532719374,2.081064224,74.91075897,181.2926331
21.11463738,0.496507615,0.997835159,1.43136549,2.097443581,77.75780487,181.5209808
21.21805,0.592608571,1.022531271,1.450013399,2.039567471,74.85333252,181.625
21.58145523,0.415997863,1.012744069,1.507701755,2.014753819,68.99909973,181.4827728
21.4749794,0.436254293,0.949360609,1.593927264,2.008543968,66.71273041,180.6700592
21.66452599,0.285622448,0.929284215,1.554670692,2.009689808,65.80860138,180.2893066
21.62741089,0.281641364,1.004717946,1.480821967,2.029943228,71.06369782,180.5193176
21.57886314,0.444584101,0.956423938,1.473700523,2.045932293,72.95045471,180.530014
21.24141693,0.651467383,1.059816003,1.565484166,2.054565668,75.77508545,180.0374146
21.29507446,0.915095329,1.040041566,1.717256546,2.05074501,75.63600922,180.2316284
21.25320435,0.643413603,1.078527689,1.759959579,2.049384832,75.89107513,180.1971741
20.58442307,0.841898858,1.021643043,1.738675475,2.034782171,74.64472961,180.6958466
20.88665009,0.673752844,1.080273032,1.634236813,2.028193235,73.35428619,181.0728607
20.77412605,0.461454421,1.106289029,1.53392303,2.036660194,73.95737457,180.630661
20.93675804,0.756023109,1.04758358,1.551060557,2.030703068,73.62063599,179.841568
21.64674759,0.81492573,1.044185281,1.608332634,2.017679691,73.17111206,179.625
21.61928177,0.780866742,1.060663938,1.696045518,1.993979812,73.00631714,179.6089478
21.19166565,0.762699366,1.019138575,1.709560394,1.98321557,73.20667267,179.5
21.38749313,0.547886729,0.955712557,1.666585803,1.998601437,76.93452454,179.5769501
21.01812172,0.424045384,1.007135034,1.574349523,2.016469955,74.95852661,180.1852264
20.93846893,0.28836742,1.040081739,1.533162594,2.040341616,76.75336456,180.7133789
20.93793297,0.359721452,1.014550328,1.562185764,2.044832707,75.23056793,181.4905396
20.04260445,0.455741078,1.039130449,1.665593624,2.008193016,73.793396,182.4173279
20.6102314,0.763355672,1.038316965,1.741852283,1.973027587,71.49752808,182.7775574
21.52017021,0.653429449,0.953463316,1.649779558,1.967463732,74.20170593,182.986557
21.68257904,0.559939027,0.953010857,1.500086069,1.969363451,75.97991943,182.9274597
21.54952431,0.372553706,0.965818167,1.403554082,1.972597718,76.49790192,183.375
20.79980469,0.330038309,0.964990437,1.457653999,1.982035279,73.30578613,183.3625488
21.12578583,0.215321943,0.968333721,1.621005654,1.979143262,74.31440735,183.2378845
19.96584892,0.209591448,1.011123419,1.732060313,2.003786564,73.80303955,183.0424957
19.90743256,0.496304035,1.040878892,1.728743076,2.009316921,74.18649292,182.2614594
19.6219101,0.435501218,1.097073674,1.668088913,2.001921177,72.78177643,182.4194946
19.78776741,0.340429485,1.01969111,1.535562754,2.002795219,71.04721832,182.885788
20.13584709,0.347682118,1.0601753,1.490758777,1.994002342,69.4631424,182.9686279
19.52016449,0.420528978,0.953897655,1.521281004,2.002591848,68.40032959,182.6452637
18.97587013,0.507105589,1.021335363,1.602797031,2.000492334,68.68257904,182.875
19.26420212,0.42560643,1.049948931,1.643151999,1.994987607,68.84855652,182.9225617
19.59097672,0.703249455,0.993730485,1.634884119,1.98131454,71.63594818,183.4724579
20.33826447,0.561445117,0.977840066,1.601127386,1.988699079,72.4784317,183.0718994
20.29434776,0.386255503,0.9381603,1.42406702,1.984551191,71.2600174,182.3153839
20.56881714,0.464037776,1.05118382,1.404566765,1.983036876,69.72023773,181.5245514
18.85242081,0.525734186,1.029918432,1.430017114,1.989143729,70.41916657,181.875
18.54850578,0.485818267,0.993507743,1.504403591,1.989358544,73.81859589,181.8674774
19.15685463,0.563052297,1.002769947,1.614030123,2.000003815,72.95188141,181.7284393
20.56253052,0.338703334,0.995467246,1.613746166,1.995420814,73.17378235,181.3887177
18.22298241,0.347903729,0.933180153,1.536163926,1.988949418,72.85593414,181.6576233
19.78614426,0.717516542,0.911130667,1.393851996,1.969212413,71.25423431,182.2809601
21.09055901,0.412783205,0.979258418,1.360270858,1.965148926,68.73529816,182.9101715
21.35969925,0.219698355,0.909538984,1.405127883,1.967337728,64.72732544,183.6415863
21.7031002,0.268406302,0.914263427,1.554530978,2.013314247,67.1368866,183.994751
21.70248604,0.20369418,0.91053623,1.601643443,2.048177242,71.82758331,183.8651733
21.6875,0.350545198,1.059710145,1.67363143,2.087676048,75.13083649,183.625
21.6875,0.422443271,0.975576937,1.609583974,2.06571126,71.89159393,183.6080017
21.68798828,0.337581575,0.966215074,1.55787766,2.027142763,68.71844482,183.117157
21.70265198,0.220275119,0.958390772,1.556788921,2.001570702,66.02055359,182.8427124
21.68790627,0.13814792,0.886114657,1.648706198,2.009774685,73.11132813,181.7434845
21.7031002,0.136167258,0.854183257,1.682303071,2.018309116,75.0412674,181.5146179
21.7031002,0.134768903,0.904375255,1.668546319,2.01260376,79.36852264,182.130188
21.7031002,0.133290976,0.940887928,1.601992011,1.985442638,79.06362915,182.3591919
21.7031002,0.132792294,0.934628904,1.45947206,1.981267333,79.14234161,181.4903717
21.7031002,0.132300004,0.923474133,1.407622099,2.00908494,80.19895935,180.8654327
21.7029419,0.132294953,0.907449663,1.487914085,2.021356344,76.23673248,180.127533
21.68762207,0.131799996,1.0489887,1.607878447,2.030516148,74.92621613,180.3769684
21.7030201,0.131799996,0.996769369,1.744040608,2.019747019,73.48117065,180.621109
21.68754005,0.131801263,0.95263046,1.713318586,2.010803223,69.8764267,179.8734131
21.7030983,0.132299945,0.964598596,1.642008424,2.00201726,70.43743134,179.2499237
21.7031002,0.132300004,1.00618422,1.490321994,2.012668371,70.49982452,179.0005951
21.68758392,0.132300004,0.919573545,1.458670497,2.009454966,77.83495331,179
21.6875,0.131804034,0.915033162,1.543011069,2.028228521,80.04480743,179.4961548
20.71367455,0.131799996,0.97771889,1.715632916,2.082208633,81.73187256,179.7474213
20.68770981,0.143441901,0.989943266,1.902981162,2.090559959,78.29689789,180.2434998
19.16543579,0.285780132,0.964222252,1.955681324,2.09769392,75.29816437,180.4960938
17.63805008,0.423714191,1.110306621,1.859646678,2.085604668,69.30093384,180.5
16.64603233,0.692390442,1.185323119,1.833040595,2.086106062,68.51468658,180.8672791
15.25248337,0.864116192,1.274054885,1.956058741,2.087703705,70.51295471,181.2412872
15.27953339,1.36342597,1.372753501,2.234841824,2.083814383,71.96164703,181.7370606
15.31159401,1.588398576,1.345200181,2.160054445,2.069540739,70.05789185,181.8714294
15.32005405,1.48594749,1.447048307,2.00033021,2.052958489,68.18423462,182.6016083
15.35806084,1.493699312,1.345615625,1.90519166,2.047437668,70.66010284,182.7457733
15.5324688,1.408576965,1.351434588,1.806460738,2.046097755,70.93058014,182.6295624
15.60661793,1.377159119,1.376867533,1.849381447,2.045262098,72.43819428,181.9043732
15.49714756,1.360100746,1.287389278,1.972747207,2.040528536,73.3380661,180.9168091
15.11158085,1.334184527,1.322178245,1.951738358,2.054221153,79.64304352,180.875
14.90768242,1.29023397,1.23218143,1.823630452,2.057574511,78.50878906,180.875
15.10622025,1.405877471,1.301780701,1.629045963,2.033903599,78.25940704,180.6374512
15.36876583,1.389936447,1.212025642,1.625161767,2.015749455,73.63258362,180.1512146
15.25737,1.242018223,1.187626481,1.681414723,2.002779961,75.50013733,179.7706604
15.25734615,1.166246057,1.299898744,1.784347773,2.008841276,78.33281708,179.8678284
15.19909954,1.10340035,1.233924627,1.749363303,2.024440527,80.55448914,180.5800018
15.25383377,1.067570448,1.361439109,1.619518161,2.029115439,79.80949402,180.5078278
15.34543324,1.243375897,1.290614486,1.550733805,2.009507895,71.51686859,179.7989807
15.31517315,1.183978438,1.159975648,1.516687989,2.002616882,72.10203552,179.9830017
15.19637966,1.023561955,1.15275085,1.600708485,2.00474596,72.47780609,181.1617127
14.86180782,0.768357098,1.184579969,1.644167304,2.01533556,72.90526581,181.5975189
14.94415283,0.569071233,1.195690036,1.639618397,2.027402639,70.05106354,181.625
14.22642899,0.671996236,1.232595444,1.607593775,2.02526474,66.35874176,182.0857086
13.74074173,0.761537015,1.288321257,1.638235927,2.031858683,68.58795166,182.2398377
13.66738796,0.847715676,1.331916809,1.706580281,2.045568466,70.12880707,182.5935364
13.66409969,0.799213588,1.372021318,1.841611743,2.058284998,74.52985382,182.9675446
13.62848949,0.940256476,1.316210628,1.889601111,2.069704294,76.87283325,183.2276917
13.58239174,0.87783283,1.337563753,1.818785787,2.0845716,78.93625641,183.25
13.54983711,0.772356868,1.293738365,1.747436285,2.079128027,78.33236694,183.5897064
13.46217918,0.719839394,1.289712906,1.620943785,2.070132732,79.20966339,184.1895142
13.52343369,0.852994978,1.277732492,1.619086862,2.060250521,77.51139069,184.7002716
13.60141563,0.930873454,1.303067684,1.718979239,2.041435242,76.1620636,184.75
13.74923706,0.900399804,1.26124835,1.789196611,2.028156281,74.88421631,184.4142761
13.93296051,0.959195197,1.182986379,1.722461581,2.029908657,76.25624085,183.1476898
14.06434059,1.049385667,1.249844194,1.567473173,2.0248456,76.49311829,182.4437866
14.11971283,1.038749099,1.246068358,1.534316301,2.028749228,80.38183594,182.2640839
14.125,1.103508115,1.286331058,1.568580985,2.030679226,77.44709778,182.0288391
14.13187981,1.08901608,1.21339345,1.645091891,2.021052361,75.62193298,181.4487763
14.14651775,1.066203594,1.267441153,1.703413725,2.004696131,71.70043945,181.4849091
14.12788677,1.080594659,1.177852035,1.676699638,1.9928087,74.36536408,181.5
14.06355763,1.056517959,1.238027453,1.598147273,2.003388643,76.7789917,181.7185059
14.0479002,1.073969245,1.196747303,1.49292171,2.014601469,75.97288513,181.75
13.97215939,1.012613893,1.216215372,1.454926372,2.019696474,75.16069031,181.75
13.89998913,0.902220964,1.21752739,1.486910224,2.041270018,76.57875061,181.4250946
13.85691261,0.853358388,1.170801759,1.631381035,2.060542583,78.37808991,182.0228272
13.71700764,0.741752148,1.182530761,1.698422551,2.070712328,79.378479,182.6631928
13.64834213,0.735931695,1.254448533,1.701665163,2.059323311,74.1882782,182.8573151
13.67406178,0.836816609,1.241409659,1.620811105,2.050472736,74.43574524,182.875
13.66639042,0.935999513,1.332084775,1.642193794,2.049726963,73.13198853,182.875
13.63747978,0.970952034,1.316761732,1.682559848,2.050345898,75.95803833,182.981308
13.62618733,0.969682574,1.269995093,1.806279659,2.056811571,76.23505402,183.4239197
13.51935196,1.019933462,1.268685222,1.826385737,2.052071333,76.45162201,183.9225922
13.46048546,1.010343194,1.239469171,1.785084844,2.054149151,78.39568329,184.5265808
13.4531002,0.966234386,1.246314049,1.663177848,2.052612543,78.12010193,184.7299805
13.52512932,0.975250959,1.27700913,1.574731231,2.040496349,78.36642456,184.4359131
13.64998245,0.975661159,1.155920506,1.564304948,2.020348787,74.99330139,184.6881104
13.70436001,1.0348593,1.228112817,1.595595121,2.005310774,73.32414246,184.5419312
13.67854404,1.068719626,1.128811836,1.643199325,2.001805067,72.45091248,184.7074127
13.6718998,0.941626012,1.104978919,1.612500787,2.002593994,75.51708221,183.9230042
13.63966847,0.886319995,1.116146088,1.493015051,2.011854649,77.93920898,183.4408722
13.61357307,0.788865149,1.095986009,1.39921093,2.011018038,77.13134003,183.7858429
13.58376503,0.749425411,1.112967849,1.399561405,1.994291663,73.70129395,184.3868866
13.603652,0.771060407,1.081063628,1.459084272,1.980009913,73.40818024,184.1938629
13.62209415,0.82417649,1.11495018,1.570158839,1.985812903,76.95826721,184.125
13.68834305,0.77676636,1.107162356,1.567719579,2.002189159,79.87901306,183.7194672
