DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,RHOB,GR,FORCE_2020_LITHOFACIES_LITHOLOGY
898.142,HORDALAND GP.,Utsira Fm.,,0.200000003,1.36852169,1.950000048,50.21445847,65000
898.294,HORDALAND GP.,Utsira Fm.,,0.200000003,1.372889638,1.950000048,50.45229721,65000
898.446,HORDALAND GP.,Utsira Fm.,,0.200000003,1.384175301,1.950000048,50.15716171,65000
898.598,HORDALAND GP.,Utsira Fm.,13.37706375,0.200000003,1.401217699,1.950000048,49.74373245,65000
898.75,HORDALAND GP.,Utsira Fm.,13.44229984,0.200000003,1.412299991,1.950000048,49.40119934,65000
898.902,HORDALAND GP.,Utsira Fm.,13.43741131,0.200000003,1.412299991,1.950000048,49.52967072,65000
899.054,HORDALAND GP.,Utsira Fm.,13.43591404,0.200000003,1.412299991,1.950000048,49.9414978,65000
899.206,HORDALAND GP.,Utsira Fm.,13.4357357,0.200000003,1.412299991,1.950000048,50.90215302,65000
899.358,HORDALAND GP.,Utsira Fm.,13.43570042,0.200000003,1.412472844,1.950000048,51.89273071,65000
899.51,HORDALAND GP.,Utsira Fm.,13.43570042,0.200000003,1.421115995,1.950000048,52.44515228,65000
899.662,HORDALAND GP.,Utsira Fm.,13.43578911,0.200000003,1.453638554,1.950000048,51.14099503,65000
899.814,HORDALAND GP.,Utsira Fm.,13.43687153,0.200000003,1.493593693,1.950000048,50.67495728,65000
899.966,HORDALAND GP.,Utsira Fm.,13.44104862,0.200000003,1.524737597,1.950000048,52.02416611,65000
900.118,HORDALAND GP.,Utsira Fm.,13.44815254,0.200000003,1.541628718,1.950000048,52.95341873,65000
900.27,HORDALAND GP.,Utsira Fm.,13.45324421,0.200000003,1.544124842,1.950000048,50.91552734,65000
900.422,HORDALAND GP.,Utsira Fm.,13.45336151,0.200000003,1.566858411,1.950000048,47.78057861,65000
900.574,HORDALAND GP.,Utsira Fm.,13.45164871,0.200000003,1.594936729,1.950000048,46.91686249,65000
900.726,HORDALAND GP.,Utsira Fm.,13.45216942,0.200000003,1.626954436,1.850939155,48.1572876,65000
900.878,HORDALAND GP.,Utsira Fm.,13.45417595,0.200000003,1.643636346,1.67372489,49.48080444,65000
901.03,HORDALAND GP.,Utsira Fm.,13.45209599,0.200000003,1.650475979,1.646683931,50.86626434,65000
901.182,HORDALAND GP.,Utsira Fm.,13.44641018,0.200000003,1.658942342,1.651760697,52.31594849,65000
901.334,HORDALAND GP.,Utsira Fm.,13.44339657,0.200000003,1.658887982,1.656787992,54.4752388,65000
901.486,HORDALAND GP.,Utsira Fm.,13.44702053,0.200000003,1.646416068,1.661209464,56.52413178,65000
901.638,HORDALAND GP.,Utsira Fm.,13.45276642,0.200000003,1.633560062,1.665940881,57.01272965,65000
901.79,HORDALAND GP.,Utsira Fm.,13.45368767,0.200000003,1.601848006,1.672936082,57.36843491,65000
901.942,HORDALAND GP.,Utsira Fm.,13.45184994,0.200000003,1.562888622,1.682239413,57.26408005,65000
902.094,HORDALAND GP.,Utsira Fm.,13.4518013,0.200000003,1.539121866,1.69066155,55.48546219,65000
902.246,HORDALAND GP.,Utsira Fm.,13.4538393,0.200000003,1.535884023,1.695104003,52.99915314,65000
902.398,HORDALAND GP.,Utsira Fm.,13.45294571,0.200000003,1.518835187,1.695389628,50.50628662,65000
902.55,HORDALAND GP.,Utsira Fm.,13.44712162,0.200000003,1.50204134,1.694900036,48.09238052,65000
902.702,HORDALAND GP.,Utsira Fm.,13.44038296,0.200000003,1.501040697,1.695269465,47.18357849,65000
902.854,HORDALAND GP.,Utsira Fm.,13.43658638,0.200000003,1.515230417,1.695666432,48.92755508,65000
903.006,HORDALAND GP.,Utsira Fm.,13.43579483,0.200000003,1.517995238,1.694932818,51.35576248,65000
903.158,HORDALAND GP.,Utsira Fm.,13.43570042,0.200000003,1.51789999,1.693415165,54.12049103,65000
