DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,RHOB,GR,FORCE_2020_LITHOFACIES_LITHOLOGY
2822.4964,VIKING GP.,Draupne Fm.,12.41779995,12.95333576,8.400980949,2.512125731,130.920578,65000
2822.6484,VIKING GP.,Draupne Fm.,12.45491505,14.2824173,10.08668613,2.511403561,128.4125977,65000
2822.8004,VIKING GP.,Draupne Fm.,12.46065807,14.50391769,10.76943493,2.479137421,126.7216568,65000
2822.9524,VIKING GP.,Draupne Fm.,12.51093388,15.13025379,11.82129479,2.499270201,123.0755768,65000
2823.1044,VIKING GP.,Draupne Fm.,12.52264977,15.47628689,12.64524746,2.504630089,121.2846146,65000
2823.2564,VIKING GP.,Draupne Fm.,12.52555656,13.74190521,11.84994698,2.482454538,124.8854523,65000
2823.4084,VIKING GP.,Draupne Fm.,12.57273865,11.54158497,10.81418419,2.654844523,125.9384155,65000
2823.5604,VIKING GP.,Draupne Fm.,12.58465385,16.13238525,16.24242401,2.703194618,124.9773789,65000
2823.7124,VIKING GP.,Draupne Fm.,12.61242199,16.98307228,16.8716774,2.513597727,123.5057373,65000
2823.8644,VIKING GP.,Draupne Fm.,12.60764694,11.02577114,10.77673149,2.482610464,128.7443848,65000
2824.0164,VIKING GP.,Draupne Fm.,12.62935734,8.82691288,8.389643669,2.471214294,135.3988953,65000
2824.1684,VIKING GP.,Draupne Fm.,12.638237,10.43931484,10.0820961,2.489701986,137.3429565,65000
2824.3204,VIKING GP.,Draupne Fm.,12.72026634,10.5826664,10.85855484,2.50458765,136.6376038,65000
2824.4724,VIKING GP.,Draupne Fm.,12.7421732,10.36333656,11.0353117,2.49460268,135.6593628,65000
2824.6244,VIKING GP.,Draupne Fm.,12.79170895,10.14918804,10.88256645,2.508996248,135.0718689,65000
2824.7764,VIKING GP.,Draupne Fm.,12.78833199,8.661567688,9.059075356,2.466273546,134.7225342,65000
2824.9284,VIKING GP.,Draupne Fm.,12.73501492,7.660882473,7.799936295,2.439671516,134.9389801,65000
2825.0804,VIKING GP.,Draupne Fm.,12.72897625,9.233350754,9.370851517,2.462215424,134.6533203,65000
2825.2324,VIKING GP.,Draupne Fm.,12.73564148,11.31954289,11.6738987,2.483638763,131.0695343,65000
2825.3844,VIKING GP.,Draupne Fm.,12.68907833,11.71476364,11.89874744,2.50109911,127.2206802,65000
2825.5364,VIKING GP.,Draupne Fm.,12.68385601,11.76657772,11.84370804,2.485477209,125.4889374,65000
2825.6884,VIKING GP.,Draupne Fm.,12.66768932,11.31324291,11.41412163,2.476588726,126.2907639,65000
2825.8404,VIKING GP.,Draupne Fm.,12.642272,11.26104736,11.48391533,2.457496882,125.1897888,65000
2825.9924,VIKING GP.,Draupne Fm.,12.65185452,10.4393692,10.8330574,2.457799673,122.3528214,65000
2826.1444,VIKING GP.,Draupne Fm.,12.64736366,9.693881989,9.919236183,2.476320267,121.1121597,65000
2826.2964,VIKING GP.,Draupne Fm.,12.64811707,10.14590836,10.33319759,2.493711233,122.344841,65000
2826.4484,VIKING GP.,Draupne Fm.,12.64708519,10.36746979,10.50298595,2.48718977,125.9647827,65000
2826.6004,VIKING GP.,Draupne Fm.,12.61818123,10.98522949,10.86283779,2.477982283,131.7917023,65000
2826.7524,VIKING GP.,Draupne Fm.,12.59768963,10.72387791,9.845272064,2.455206633,135.5776672,65000
2826.9044,VIKING GP.,Draupne Fm.,12.57539272,12.42026329,11.41545105,2.452111006,135.6437836,65000
2827.0564,VIKING GP.,Draupne Fm.,12.52437973,13.33601666,12.26096058,2.473947048,130.4020996,65000
2827.2084,VIKING GP.,Draupne Fm.,12.47090149,13.34402466,12.49131775,2.471961021,124.1430969,65000
2827.3604,VIKING GP.,Draupne Fm.,12.40700436,13.89937782,13.32782269,2.468036175,121.4763184,65000
2827.5124,VIKING GP.,Draupne Fm.,11.98022175,13.63368607,13.26860809,2.495456934,119.410347,65000
2827.6644,VIKING GP.,Draupne Fm.,11.8284092,13.71302605,13.45242596,2.547122955,117.6002884,65000
2827.8164,VIKING GP.,Draupne Fm.,11.76097393,14.24726391,14.58452129,2.685828686,113.5807571,65000
2827.9684,VIKING GP.,Draupne Fm.,11.70524597,12.12539578,12.29651165,2.546806097,113.705452,65000
2828.1204,VIKING GP.,Draupne Fm.,11.69881916,10.97218704,11.02104855,2.506526232,118.2199936,65000
2828.2724,VIKING GP.,Draupne Fm.,11.6935854,11.31798554,11.3919735,2.485507488,124.2333908,65000
2828.4244,VIKING GP.,Draupne Fm.,11.68798924,11.99321938,11.93146515,2.470873117,127.3930588,65000
2828.5764,VIKING GP.,Draupne Fm.,11.66473007,12.06285095,11.9506464,2.452709913,128.2431183,65000
2828.7284,VIKING GP.,Draupne Fm.,11.64944649,11.17587185,10.94909,2.452569485,127.0584259,65000
2828.8804,VIKING GP.,Draupne Fm.,11.64541626,11.64252853,11.2221508,2.453331947,125.043869,65000
2829.0324,VIKING GP.,Draupne Fm.,11.61512756,12.58443642,12.00125217,2.480985642,121.2611618,65000
2829.1844,VIKING GP.,Draupne Fm.,11.64850426,13.20493698,12.39204598,2.479044199,118.8067017,65000
2829.3364,VIKING GP.,Draupne Fm.,11.65103626,13.56818199,12.70736694,2.453054428,116.4120941,65000
2829.4884,VIKING GP.,Draupne Fm.,11.62354469,11.94888401,11.15712643,2.319867611,118.078804,65000
2829.6404,VIKING GP.,Draupne Fm.,11.00168228,11.3986454,10.56943893,2.423793316,114.0145035,65000
2829.7924,VIKING GP.,Draupne Fm.,9.288158417,16.21710777,15.42605209,2.663934469,107.3063736,65030
2829.9444,VIKING GP.,Draupne Fm.,8.998405457,16.45575905,16.13601875,2.591041327,99.56272888,65030
2830.0964,VIKING GP.,Draupne Fm.,8.98188591,13.15075493,13.01945305,2.535489321,98.47109222,65030
2830.2484,VIKING GP.,Draupne Fm.,8.978342056,12.36500168,12.30722714,2.509634733,102.860672,65030
2830.4004,VIKING GP.,Draupne Fm.,8.962852478,12.69383621,12.67753983,2.50718832,105.3218308,65030
2830.5524,VIKING GP.,Draupne Fm.,8.956108093,13.60421276,13.65570259,2.504123926,105.6032791,65030
2830.7044,VIKING GP.,Draupne Fm.,8.948122978,14.3135519,14.30343819,2.4994905,105.4502945,65030
2830.8564,VIKING GP.,Draupne Fm.,8.937267304,14.06760216,14.02383423,2.507921696,107.4573212,65030
2831.0084,VIKING GP.,Draupne Fm.,8.906869888,12.9707222,13.08999443,2.519955158,108.3081284,65030
2831.1604,VIKING GP.,Draupne Fm.,8.887388229,15.1953907,15.3881731,2.606999159,107.9796143,65030
2831.3124,VIKING GP.,Draupne Fm.,8.872878075,15.89962769,15.9911747,2.526335955,108.2226257,65030
2831.4644,VIKING GP.,Draupne Fm.,8.854114533,13.9388628,13.95270824,2.496003151,112.7865067,65030
2831.6164,VIKING GP.,Draupne Fm.,8.853349686,13.07983112,13.15820694,2.51508832,115.1732178,65030
2831.7684,VIKING GP.,Draupne Fm.,8.844340324,11.40285301,11.52897167,2.487221718,115.9061508,65030
2831.9204,VIKING GP.,Draupne Fm.,8.844837189,11.875103,11.86660957,2.477660418,113.3912811,65030
2832.0724,VIKING GP.,Draupne Fm.,8.842971802,13.7918148,13.83397102,2.50326848,113.4733582,65030
2832.2244,VIKING GP.,Draupne Fm.,8.842499733,15.13306522,15.26185799,2.497577667,112.8708115,65030
2832.3764,VIKING GP.,Draupne Fm.,8.886799812,12.93821812,12.77035904,2.499845743,111.2467499,65030
2832.5284,VIKING GP.,Draupne Fm.,8.840298653,14.99522209,14.63541889,2.492063046,110.8933563,65030
2832.6804,VIKING GP.,Draupne Fm.,8.830700874,12.78952408,12.52783012,2.483459711,111.3263931,65030
2832.8324,VIKING GP.,Draupne Fm.,8.826616287,11.71310711,11.46459484,2.497631788,113.6329041,65030
