DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,RHOB,GR,FORCE_2020_LITHOFACIES_LITHOLOGY
3185.645584,SHETLAND GP.,Kyrre Fm.,18.08263016,1.752699971,1.742900014,2.500531673,91.98259735,65000
3185.797584,SHETLAND GP.,Kyrre Fm.,18.07706451,1.752699971,1.742900014,2.496316195,100.2924728,65000
3185.949584,SHETLAND GP.,Kyrre Fm.,18.10601997,1.70747602,1.672140837,2.48803401,110.7849045,65000
3186.101584,SHETLAND GP.,Kyrre Fm.,18.13782501,1.700528741,1.659999728,2.48148346,128.4260254,65000
3186.253584,SHETLAND GP.,Kyrre Fm.,18.18694496,1.750376105,1.775958538,2.485646009,128.5518189,65000
3186.405584,SHETLAND GP.,Kyrre Fm.,18.19449997,1.790566087,1.842865825,2.49058795,127.6361313,65000
3186.557584,SHETLAND GP.,Kyrre Fm.,18.19449997,1.936208487,1.999105454,2.493252993,124.3916779,65000
3186.709584,SHETLAND GP.,Kyrre Fm.,18.2181282,2.041977644,2.052076817,2.495463133,124.7894669,65000
3186.861584,SHETLAND GP.,Kyrre Fm.,18.24588013,2.074844122,2.07624197,2.501543522,120.4524918,65000
3187.013584,SHETLAND GP.,Kyrre Fm.,18.2912426,2.094515801,2.07122159,2.506048203,110.776474,65000
3187.165584,SHETLAND GP.,Kyrre Fm.,18.33404923,2.092317343,2.06507206,2.511144161,105.7120895,65000
3187.317584,SHETLAND GP.,Kyrre Fm.,18.34665299,2.091300011,2.064199925,2.510243893,108.644928,65000
3187.469584,SHETLAND GP.,Kyrre Fm.,18.3071003,2.091300011,2.064199925,2.510233641,112.9235458,65000
3187.621584,SHETLAND GP.,Kyrre Fm.,18.26428795,2.091300011,2.064199925,2.507725716,119.4136658,65000
3187.773584,SHETLAND GP.,Kyrre Fm.,18.26299477,2.255718231,2.088871002,2.50604105,127.0243073,65000
3187.925584,SHETLAND GP.,Kyrre Fm.,18.24975205,2.274460793,2.062048197,2.501093864,127.9603577,65000
3188.077584,SHETLAND GP.,Kyrre Fm.,18.24670029,2.282315493,2.040479422,2.501170397,128.2087555,65000
3188.229584,SHETLAND GP.,Kyrre Fm.,18.24957466,2.377403975,2.105288506,2.503617048,128.6124268,65000
