,0,1,2,3,4,5,6,7,8,9,10,11,FORCE_2020_LITHOFACIES_LITHOLOGY
0,291.104,13.42338562,1.56816113,1.524438143,1.53532052,1.884087086,69.87680817,0.468442202,0,171.6634879,6.745289326,0,65000
1,291.256,13.3324604,1.887844801,1.603621841,1.63957119,1.900501132,71.39749146,0.453518659,0,171.6631876,6.05146122,0,65000
2,291.408,13.47716808,1.636390805,1.578039169,1.799616456,1.902494192,70.07042694,0.445814788,0,171.6633964,6.066279411,0,65000
3,291.56,13.71183205,1.404800296,1.525366068,1.804005265,1.903906345,66.47357178,0.451769561,0,171.6459239,5.956185818,0,65000
4,291.712,13.86104584,1.806929112,1.502912402,1.789054871,1.909743547,62.91358948,0.470811278,0,171.6421828,6.019415855,0,65000
5,291.864,14.01573372,1.294423819,1.517154098,1.743456602,1.918121219,64.00006867,0.456749052,0,171.6565638,6.401003361,0,65000
6,292.016,14.12883663,1.769609094,1.554103732,1.69200325,1.924591661,66.8890686,0.471980304,0,171.6460977,7.031752586,0,65000
7,292.168,14.27266312,2.035552978,1.552434564,1.639832377,1.931189418,68.77268982,0.448013216,0,171.6636821,7.776557446,0,65000
8,292.32,14.4147749,2.087144852,1.499641419,1.626609325,1.934179783,67.86218262,0.470495194,0,171.6639065,8.702344894,0,65000
9,292.472,14.45730782,2.101416349,1.434803963,1.626787424,1.938458204,65.21646118,0.460468501,0,171.6568406,8.502077103,0,65000
10,292.624,14.46090031,2.068263054,1.39178443,1.625430465,1.935654521,64.91200256,0.498527885,0,171.6567331,7.00101614,0,65000
11,292.776,14.45214081,2.147215605,1.368548393,1.621167541,1.927717209,65.72050476,0.509517849,0,171.6567332,5.859563828,0,65000
12,292.928,14.41587067,2.241896868,1.375680447,1.6147995,1.918940663,67.61679077,0.503921568,0,171.6462794,5.155480862,0,65000
13,293.08,14.35821438,2.182852745,1.396378398,1.608716726,1.914747238,70.57642365,0.49828285,0,171.6630663,4.393101215,0,65000
14,293.232,14.2167387,2.185902119,1.429347277,1.606625795,1.918590069,71.17014313,0.488351941,0,171.6628796,3.486089706,0,65000
15,293.384,14.13628674,1.998941064,1.455556869,1.611724496,1.930471778,70.217453,0.504705727,0,171.6629936,2.740261555,0,65000
16,293.536,14.08981609,1.976699591,1.484971285,1.629065633,1.943367004,68.4175415,0.504993558,0,171.646417,2.439218759,0,65000
