,0,1,2,3,4,5,6,7,8,9,10,11,FORCE_2020_LITHOFACIES_LITHOLOGY
0,688.0844341,12.09370024,2.106271935,0.519078255,1437.768066,1.748449087,82.93076325,0.582078457,0,125.9834654,28.48067665,12.25000079,65000
1,688.2364341,14.99696235,1.766222609,0.66972363,612.2210693,1.736729384,84.05210114,0.539976776,0,165.9624058,28.61078835,12.25000123,65000
2,688.3884341,18.97089594,0.326081088,0.798915267,117.1260147,1.735261083,84.70191956,0.509873629,0,165.710656,28.84537697,12.25000078,65000
3,688.5404341,18.97084326,0.326080088,0.937626123,3.439882278,1.739342809,84.42093658,0.503204405,0,166.4148668,29.47071648,12.25000129,65000
4,688.6924341,18.970847,0.326079801,1.088105559,1.059181571,1.742516041,83.89564514,0.524980784,0,166.6421044,29.62009049,12.25000162,65000
5,688.8444341,18.97084127,0.326080078,1.239136219,1.078794837,1.74198699,84.48902893,0.541520476,0,166.4831055,30.1878109,12.25000079,65000
6,688.9964341,18.97082013,0.326081323,1.359742761,1.137013197,1.741822958,87.01496124,0.540734768,0,166.1629576,30.72814369,12.25000062,65000
7,689.1484341,18.97078939,0.320861577,1.406327844,1.160693049,1.745811582,90.59474945,0.535969794,0,168.0674093,31.21208191,12.25000012,65000
8,689.3004341,18.97076836,0.320487983,1.3772645,1.143174052,1.751431584,93.20477295,0.555800557,0,168.9375628,31.31147003,12.25000079,65000
9,689.4524341,18.97076123,0.32048781,1.315134525,1.1226331,1.753141642,93.940979,0.586129546,0,168.4569162,31.10577774,12.25000029,65000
10,689.6044341,18.97076454,0.320487855,1.260221481,1.110801935,1.751198411,93.76859283,0.60077548,0,168.4213751,31.0325489,12.25000145,65000
11,689.7564341,18.97076265,0.320487857,1.229668617,1.117185831,1.754814744,93.85437775,0.588586688,0,168.5415246,30.8281002,12.25000079,65000
12,689.9084341,18.9707659,0.320487942,1.223476529,1.137627125,1.766782761,93.46396637,0.555251777,0,168.3246287,30.94322968,12.25000062,65000
13,690.0604341,18.9707798,0.32086171,1.235132694,1.195206523,1.794664621,91.82782745,0.540682197,0,167.8662464,31,12.25000046,65000
14,690.2124341,18.97080792,0.326082076,1.262541056,1.354260922,1.808232904,88.64530945,0.577275395,0,168.0225358,30.4336586,12.25000129,65000
15,690.3644341,18.97081929,0.326081488,1.305874348,1.537605047,1.784585118,87.36818695,0.633393168,0,167.95108,29.87127113,12.25000178,65000
