DEPTH_MD,GROUP,FORMATION,CALI,RMED,RDEP,GR,NPHI,BS,ROP,FORCE_2020_LITHOFACIES_LITHOLOGY
1198.323735,HORDALAND GP.,Skade Fm.,11.78701305,1.260730386,1.226151824,40.0163765,0.506730557,17,73.11193848,30000
1198.475735,HORDALAND GP.,Skade Fm.,11.83221626,1.260630608,1.225375891,40.24197388,0.514303207,17,73.16527557,30000
1198.627735,HORDALAND GP.,Skade Fm.,11.90877628,1.260599971,1.224408984,41.22979355,0.529196978,17,73.22961426,30000
1198.779735,HORDALAND GP.,Skade Fm.,11.96804524,1.260599971,1.223549366,43.22049713,0.505355835,17,73.29451752,30000
1198.931735,HORDALAND GP.,Skade Fm.,12.0598917,1.26005137,1.222888589,45.37545395,0.491014272,17,72.75294495,30000
1199.083735,HORDALAND GP.,Skade Fm.,12.16515732,1.259390235,1.222358584,47.47140503,0.471715063,17,67.85985565,30000
1199.235735,HORDALAND GP.,Skade Fm.,12.26696777,1.258723736,1.222472191,48.61964417,0.461743325,17,67.05471802,30000
1199.387735,HORDALAND GP.,Skade Fm.,12.43782997,1.258161187,1.223887444,48.59706879,0.45388189,17,67.04493713,65030
1199.539735,HORDALAND GP.,Skade Fm.,11.40158653,1.257932544,1.227200389,45.45196915,0.454923093,17,67.10385895,65030
1199.691735,HORDALAND GP.,Skade Fm.,10.84072113,1.259514809,1.23341167,41.79046631,0.485022515,17,67.17457581,65030
1199.843735,HORDALAND GP.,Skade Fm.,10.77015305,1.26197505,1.242701411,39.24548721,0.52272141,17,66.4392395,30000
1199.995735,HORDALAND GP.,Skade Fm.,10.64691162,1.269074678,1.259049773,41.09651566,0.538004339,17,59.80496216,30000
1200.147735,HORDALAND GP.,Skade Fm.,10.47104073,1.278980255,1.279060483,45.25056076,0.522815883,17,58.14039612,30000
1200.299735,HORDALAND GP.,Skade Fm.,10.13615513,1.274321079,1.286297321,50.48020935,0.512909353,17,58.11714554,30000
1200.451735,HORDALAND GP.,Skade Fm.,9.587152481,1.267430425,1.287423134,52.42908478,0.503495693,17,58.17314911,65030
1200.603735,HORDALAND GP.,Skade Fm.,9.449291229,1.259299755,1.286257744,50.55435944,0.489278048,17,58.22819901,65030
1200.755735,HORDALAND GP.,Skade Fm.,9.651334763,1.253379822,1.2869699,46.6728859,0.467781872,17,58.28304291,30000
1200.907735,HORDALAND GP.,Skade Fm.,9.836117744,1.254380465,1.283043504,45.97631836,0.452453941,17,58.20587921,30000
1201.059735,HORDALAND GP.,Skade Fm.,9.952511787,1.259817123,1.283808827,45.8563385,0.469337165,17,55.96602631,30000
1201.211735,HORDALAND GP.,Skade Fm.,10.17745304,1.265848279,1.289542198,44.23151779,0.467280895,17,55.28173447,30000
1201.363735,HORDALAND GP.,Skade Fm.,10.50072575,1.26996088,1.279785991,42.19657135,0.486053377,17,55.28173447,30000
1201.515735,HORDALAND GP.,Skade Fm.,10.60729694,1.25755918,1.248171806,41.7204628,0.480762512,17,55.28173447,30000
1201.667735,HORDALAND GP.,Skade Fm.,10.42047787,1.237987161,1.213177562,43.93348694,0.500982165,17,55.28173447,30000
